"","week_start","surveilled","tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","inf_a_h1n1","inf_a_h3n2","ili_inc","ili_inc_roll","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll","h1n1_inc","h1n1_inc_roll","h3n2_inc","h3n2_inc_roll","total_tested_deng","pcr_pos","igm_pos","ns1_pos","ali","ali_inc","ali_inc_roll","deng_roll","deng_inc","deng_inc_roll"
"1",2026-01-18,167,15,1,0,0,0,0,0,89.8203592814371,102.362204724409,5.98802395209581,7.8740157480315,5.98802395209581,7.8740157480315,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,17.9640718562874,15.748031496063,0,0,0
"2",2026-01-25,212,16,0,0,0,0,0,0,75.4716981132076,85.2713178294574,0,3.10077519379845,0,3.10077519379845,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9.43396226415094,20.1550387596899,2,0,3.10077519379845
"3",2026-02-01,266,24,1,0,0,0,0,0,90.2255639097744,105.834464043419,3.7593984962406,6.7842605156038,3.7593984962406,6.7842605156038,0,0,0,2.71370420624152,0,4.07055630936228,0,0,0,0,8,0,2,0,8,30.0751879699248,27.1370420624152,3,7.5187969924812,4.07055630936228
"4",2026-02-08,259,38,4,0,2,3,0,0,146.718146718147,116.279069767442,15.4440154440154,7.75193798449612,15.4440154440154,7.75193798449612,0,0,7.72200772200772,2.58397932816537,11.5830115830116,6.45994832041344,0,0,0,0,10,0,1,0,10,38.6100386100386,31.0077519379845,3,3.86100386100386,3.87596899224806
"5",2026-02-15,249,28,1,0,0,2,0,0,112.449799196787,133.848133848134,4.01606425702811,10.2960102960103,4.01606425702811,10.2960102960103,0,0,0,2.57400257400257,8.03212851405623,6.43500643500643,0,0,0,0,6,0,0,0,6,24.0963855421687,27.027027027027,2,0,2.57400257400257
"6",2026-02-22,269,38,3,0,0,0,0,0,141.263940520446,122.80701754386,11.1524163568773,5.0125313283208,11.1524163568773,5.0125313283208,0,0,0,0,0,2.5062656641604,0,0,0,0,5,0,1,0,5,18.5873605947955,18.796992481203,1,3.71747211895911,1.2531328320802
"7",2026-03-01,280,32,0,0,0,0,0,0,114.285714285714,134.777376654633,0,14.4404332129964,0,14.4404332129964,0,0,0,0,0,2.40673886883273,0,0,0,0,4,0,0,0,4,14.2857142857143,24.0673886883273,2,0,2.40673886883273
"8",2026-03-08,282,42,9,0,0,2,0,0,148.936170212766,111.241217798595,31.9148936170213,18.7353629976581,31.9148936170213,18.7353629976581,0,0,0,0,7.09219858156028,2.34192037470726,0,0,0,0,11,0,1,0,11,39.0070921985816,26.9320843091335,1,3.54609929078014,1.17096018735363
"9",2026-03-15,292,21,7,0,0,0,0,0,71.9178082191781,99.3449781659389,23.972602739726,26.2008733624454,23.972602739726,26.2008733624454,0,0,0,0,0,2.18340611353712,0,0,0,0,8,0,0,0,8,27.3972602739726,31.6593886462882,1,0,1.09170305676856
"10",2026-03-22,342,28,8,0,0,0,0,0,81.8713450292398,70.1219512195122,23.3918128654971,16.260162601626,23.3918128654971,16.260162601626,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,29.2397660818713,21.3414634146341,0,0,0
"11",2026-03-29,350,20,1,0,0,0,0,0,57.1428571428571,75,2.85714285714286,13.8888888888889,2.85714285714286,13.8888888888889,0,0,0,0,0,0.925925925925926,0,0,0,0,3,0,0,0,3,8.57142857142857,16.6666666666667,0,0,0
"12",2026-04-05,388,33,6,0,0,1,0,0,85.0515463917526,70.1906412478336,15.4639175257732,12.998266897747,15.4639175257732,12.998266897747,0,0,0,0,2.57731958762887,0.866551126516464,0,0,0,0,5,0,0,0,5,12.8865979381443,11.265164644714,0,0,0
"13",2026-04-12,416,28,8,0,0,0,0,0,67.3076923076923,70.2614379084967,19.2307692307692,13.0718954248366,19.2307692307692,13.0718954248366,0,0,0,0,0,0.816993464052288,0,0,0,0,5,0,0,0,5,12.0192307692308,16.3398692810458,0,0,0
"14",2026-04-19,420,25,2,0,0,0,0,0,59.5238095238095,64.8221343873518,4.76190476190476,9.48616600790514,4.76190476190476,9.48616600790514,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,23.8095238095238,21.3438735177866,0,0,0
"15",2026-04-26,429,29,2,0,0,0,0,0,67.5990675990676,61.5141955835962,4.66200466200466,7.09779179810726,4.66200466200466,7.09779179810726,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,27.972027972028,21.2933753943218,0,0,0
"16",2026-05-03,419,24,5,0,0,0,0,0,57.2792362768496,67.2400312744332,11.9331742243437,7.03674745895231,11.9331742243437,7.03674745895231,0,0,0,0,0,0.781860828772479,0,0,0,0,5,0,0,0,5,11.9331742243437,17.982799061767,0,0,0
"17",2026-05-10,431,33,2,0,0,1,0,0,76.5661252900232,80.0316957210777,4.64037122969838,5.54675118858954,4.64037122969838,5.54675118858954,0,0,0,0,2.32018561484919,0.792393026941363,0,0,0,0,6,0,0,0,6,13.9211136890951,15.8478605388273,2,0,1.58478605388273
"18",2026-05-17,412,44,0,0,0,0,0,0,106.796116504854,88.2117080994387,0,4.00962309542903,0,4.00962309542903,0,0,0,0,0,1.60384923817161,0,0,0,0,9,0,2,0,9,21.8446601941748,16.0384923817161,2,4.85436893203883,1.60384923817161
"19",2026-05-24,404,33,3,0,0,1,0,0,81.6831683168317,87.0279146141215,7.42574257425743,4.92610837438424,7.42574257425743,4.92610837438424,0,0,0,0.821018062397373,2.47524752475248,0.821018062397373,0,0,0,0,5,0,0,0,5,12.3762376237624,17.2413793103448,2,0,1.64203612479475
"20",2026-05-31,402,29,3,0,1,0,0,0,72.1393034825871,72.1903199343724,7.46268656716418,4.92206726825267,7.46268656716418,4.92206726825267,0,0,2.48756218905473,0.820344544708778,0,0.820344544708778,0,0,0,0,7,0,0,0,7,17.4129353233831,11.4848236259229,0,0,0
"21",2026-06-07,413,26,0,0,0,0,0,0,62.953995157385,74.8792270531401,0,3.22061191626409,0,3.22061191626409,0,0,0,0.805152979066023,0,0,0,0,0,0,2,0,0,0,2,4.84261501210654,10.4669887278583,0,0,0
"22",2026-06-14,427,38,1,0,0,0,0,0,88.9929742388759,77.34375,2.34192037470726,2.34375,2.34192037470726,2.34375,0,0,0,0.78125,0,0,0,0,0,0,4,0,0,0,4,9.36768149882904,7.8125,1,0,0.78125
"23",2026-06-21,440,35,2,0,1,0,0,0,79.5454545454545,81.2693498452012,4.54545454545455,2.32198142414861,4.54545454545455,2.32198142414861,0,0,2.27272727272727,3.09597523219814,0,0,0,0,0,0,4,0,1,0,4,9.09090909090909,8.51393188854489,1,2.27272727272727,0.773993808049536
"24",2026-06-28,425,32,0,0,3,0,0,0,75.2941176470588,69.6055684454756,0,1.54679040989946,0,1.54679040989946,0,0,7.05882352941176,6.96055684454756,0,0,0,0,0,0,3,0,0,0,3,7.05882352941176,8.50734725444702,1,0,0.773395204949729
"25",2026-07-05,428,23,0,0,5,0,0,0,53.7383177570093,72.2610722610723,0,0,0,0,0,0,11.6822429906542,12.4320124320124,0,0,0,0,0,0,4,0,0,0,4,9.34579439252336,10.8780108780109,0,0,0
"26",2026-07-12,434,38,0,0,8,0,0,0,87.5576036866359,63.953488372093,0,0,0,0,0,0,18.4331797235023,12.5968992248062,0,0,0,0,0,0,7,0,0,0,7,16.1290322580645,11.6279069767442,0,0,0
"27",2026-07-19,170,5,0,0,0,0,0,0,29.4117647058824,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,0,1,5.88235294117647,NA,NA,0,NA
